c;0;-1
w;0;-1
x;0;-1
l;0;-1
v;0;-1
o;0;-1
r;0;-1
a;0;-1
u;0;-1
e;0;-1
w;0;-1
y;0;-1
w;0;-1
l;0;-1
w;0;-1
x;0;-1
l;0;-1
x;0;-1
h;0;-1
i;0;-1
v;0;-1
a;0;-1
l;0;-1
x;0;-1
p;0;-1
x;0;-1
g;0;-1
w;0;-1
b;0;-1
r;0;-1
b;0;-1
t;0;-1
c;0;-1
s;0;-1
t;0;-1
n;0;-1
l;0;-1
m;0;-1
i;0;-1
d;0;-1
s;0;-1
g;0;-1
f;0;-1
x;0;-1
f;0;-1
v;0;-1
s;0;-1
a;0;-1
s;0;-1
s;0;-1
n;0;-1
g;0;-1
w;0;-1
r;0;-1
c;0;-1
l;0;-1
b;0;-1
x;0;-1
j;0;-1
h;0;-1
y;0;-1
k;0;-1
o;0;-1
p;0;-1
l;0;-1
a;0;-1
u;0;-1
q;0;-1
d;0;-1
o;0;-1
a;0;-1
g;0;-1
d;0;-1
s;0;-1
v;0;-1
y;0;-1
s;0;-1
y;0;-1
j;0;-1
b;0;-1
n;0;-1
u;0;-1
f;0;-1
s;0;-1
j;0;-1
h;0;-1
e;0;-1
t;0;-1
f;0;-1
b;0;-1
g;0;-1
q;0;-1
w;0;-1
s;0;-1
v;0;-1
h;0;-1
o;0;-1
u;0;-1
q;0;-1
a;0;-1
u;0;-1
u;0;-1
f;0;-1
e;0;-1
i;0;-1
h;0;-1
p;0;-1
e;0;-1
a;0;-1
g;0;-1
q;0;-1
r;0;-1
i;0;-1
b;0;-1
n;0;-1
e;0;-1
l;0;-1
r;0;-1
n;0;-1
p;0;-1
m;0;-1
j;0;-1
o;0;-1
f;0;-1
q;0;-1
n;0;-1
e;0;-1
b;0;-1
i;0;-1
k;0;-1
g;0;-1
e;0;-1
c;0;-1
p;0;-1
k;0;-1
y;0;-1
x;0;-1
a;0;-1
j;0;-1
t;0;-1
g;0;-1
p;0;-1
d;0;-1
q;0;-1
t;0;-1
g;0;-1
x;0;-1
b;0;-1
y;0;-1
k;0;-1
k;0;-1
i;0;-1
t;0;-1
f;0;-1
m;0;-1
p;0;-1
t;0;-1
h;0;-1
c;0;-1
l;0;-1
t;0;-1
l;0;-1
u;0;-1
j;0;-1
c;0;-1
y;0;-1
c;0;-1
f;0;-1
k;0;-1
c;0;-1
m;0;-1
k;0;-1
v;0;-1
u;0;-1
i;0;-1
k;0;-1
u;0;-1
f;0;-1
i;0;-1
y;0;-1
i;0;-1
n;0;-1
b;0;-1
o;0;-1
v;0;-1
e;0;-1
w;0;-1
l;0;-1
s;0;-1
l;0;-1
g;0;-1
k;0;-1
b;0;-1
g;0;-1
o;0;-1
r;0;-1
k;0;-1
t;0;-1
c;0;-1
j;0;-1
c;0;-1
r;0;-1
d;0;-1
n;0;-1
s;0;-1
p;0;-1
p;0;-1
f;0;-1
o;0;-1
h;0;-1
c;0;-1
n;0;-1
h;0;-1
e;0;-1
